t_ms,chipC,skinC,modemC,freqMhz,maxMhz,nomMaxMhz,cores,gpuPct,headroomPct,thermalStatus,fps,mbps,latMs,lossPct,frameTgtMs,frameActMs,battLevel,battCurMa,battMv,action,load,netTier
84,48.4,35.3,44.8,1397,2390,3442,8,21.8,82.5,1,120.0,0.0,-1.0,-1.0,8.3,8.3,47.0,-118.0,3786.0,-1,0.00,0
2034,58.1,35.3,47.5,2390,2390,3442,8,0.0,82.5,1,0.9,11.8,23.9,0.0,8.3,1069.0,47.0,-534.0,3786.0,8,0.70,2
4067,62.4,35.3,50.2,2390,2390,3442,8,0.0,82.5,1,1.1,11.9,30.8,0.0,8.3,906.2,47.0,-1195.0,3786.0,8,0.70,2
6092,63.3,35.3,51.3,2390,2390,3442,8,0.0,82.5,1,1.4,12.8,42.8,0.0,8.3,736.0,47.0,-744.0,3786.0,8,0.70,2
8109,64.7,35.3,52.5,2390,2390,3442,8,0.0,82.5,1,1.1,13.3,24.9,0.0,8.3,898.2,47.0,-1430.0,3786.0,8,0.70,2
10126,65.9,35.3,53.2,2390,2390,3442,8,18.3,82.4,1,1.4,13.3,23.8,0.0,8.3,700.9,47.0,-1123.0,3786.0,-1,0.70,2
12144,62.9,35.4,53.2,2270,2390,3442,8,0.0,82.4,1,1.3,13.3,30.2,0.0,8.3,769.5,47.0,-1061.0,3786.0,11,0.75,2
14159,66.7,35.4,53.6,2390,2390,3442,8,0.0,82.4,1,1.2,12.9,29.0,0.0,8.3,806.4,47.0,-1101.0,3786.0,11,0.79,2
16177,67.4,35.4,54.8,2390,2390,3442,8,0.0,82.3,1,1.3,12.9,31.8,0.0,8.3,768.0,47.0,-1075.0,3786.0,11,0.81,2
18192,67.4,35.4,55.2,2390,2390,3442,8,0.0,82.3,1,1.2,13.0,37.5,0.0,8.3,806.4,47.0,-1075.0,3786.0,11,0.82,2
20226,68.3,35.4,55.6,2390,2390,3442,8,0.0,82.2,1,1.4,13.2,24.0,0.0,8.3,733.1,47.0,-1177.0,3786.0,11,0.83,2
22239,68.6,35.5,56.0,2390,2390,3442,8,0.0,82.2,1,1.4,13.3,26.9,0.0,8.3,706.8,47.0,-990.0,3786.0,11,0.84,2
24259,66.4,35.5,55.6,2002,2390,3442,8,0.0,82.1,1,1.1,13.8,24.9,0.0,8.3,896.4,47.0,-663.0,3786.0,11,0.84,2
26285,63.6,35.5,54.4,2390,2390,3442,8,0.0,82.0,1,7.1,9.7,67.8,0.0,8.3,140.7,47.0,-310.0,3786.0,0,0.40,0
