t_ms,mode,action,quality,net_tier,tc_c,ts_c,tm_c,freq_ratio,fps,mbps,latency_ms,loss_pct,target_temp,reward
40,cool,0,0,0,49.8,38.6,46.7,0.397,0,0.0,34.2,0.0,40,0.14
2020,cool,0,0,0,52.1,38.6,47.1,0.498,9,0.6,28.4,0.0,40,0.05
4035,cool,0,0,0,51.3,38.6,47.8,0.498,12,0.6,30.5,0.0,40,0.05
6056,cool,0,0,0,52.1,38.5,47.8,0.498,12,0.6,31.4,0.0,40,0.05
8067,cool,0,0,0,52.5,38.5,47.5,0.498,12,0.6,25.1,0.0,40,0.05
10079,cool,0,0,0,51.7,38.5,47.1,0.498,12,0.6,33.5,0.0,40,0.05
12093,cool,0,0,0,52.1,38.5,47.5,0.498,12,0.6,24.4,0.0,40,0.05
14103,cool,0,0,0,51.7,38.5,47.5,0.498,12,0.6,38.9,0.0,40,0.05
16116,cool,0,0,0,52.1,38.5,47.1,0.498,12,0.6,26.0,0.0,40,0.05
18126,cool,0,0,0,50.5,38.5,47.5,0.498,12,0.6,38.8,0.0,40,0.05
20142,cool,0,0,0,50.5,38.4,47.1,0.473,12,0.6,27.0,0.0,40,0.05
22157,cool,0,0,0,51.7,38.4,47.5,0.498,12,0.6,29.9,0.0,40,0.05
24176,cool,0,0,0,50.5,38.4,47.5,0.339,12,0.6,33.8,0.0,40,0.05
26186,cool,0,0,0,51.3,38.4,47.1,0.498,12,0.6,32.6,0.0,40,0.05
28199,cool,0,0,0,50.9,38.4,47.1,0.498,12,0.6,28.5,0.0,40,0.05
30210,cool,0,0,0,51.3,38.4,47.5,0.498,12,0.6,26.4,0.0,40,0.05
32224,cool,0,0,0,52.1,38.4,47.5,0.498,12,0.6,43.9,0.0,40,0.05
34236,cool,0,0,0,51.3,38.4,47.5,0.498,12,0.6,40.4,0.0,40,0.05
36248,cool,0,0,0,51.7,38.3,47.8,0.584,12,0.6,25.9,0.0,40,0.05
38262,cool,0,0,0,52.5,38.3,48.2,0.584,12,0.6,24.6,0.0,40,0.05
40276,performance,11,3,2,52.9,38.3,48.6,0.505,11,0.6,36.4,0.0,47,0.76
42327,performance,11,3,2,56.7,38.3,50.5,0.506,2,0.6,35.4,0.0,47,0.73
44341,performance,11,3,2,57.0,38.3,50.5,0.584,2,0.6,37.9,0.0,47,0.73
46354,performance,11,3,2,57.4,38.2,50.9,0.584,2,0.6,38.3,0.0,47,0.73
48405,performance,11,3,2,58.3,38.2,50.9,0.506,2,0.6,43.8,0.0,47,0.73
50897,performance,11,3,2,57.5,38.2,50.9,0.584,2,0.6,43.9,0.0,47,0.73
26,performance,11,3,2,55.2,38.2,48.6,0.584,0,0.0,74.4,0.0,47,1.07
2014,performance,11,3,2,57.9,38.2,50.2,0.584,1,10.2,72.2,0.0,47,0.92
4237,performance,11,3,2,59.3,38.2,50.9,0.584,2,12.1,65.9,0.0,47,0.96
6262,performance,11,3,2,59.7,38.2,51.7,0.584,2,13.0,30.0,0.0,47,0.97
8370,performance,11,3,2,60.1,38.2,51.7,0.584,2,13.6,28.9,0.0,47,0.98
10393,performance,11,3,2,54.8,38.2,51.7,0.293,2,13.8,28.8,0.0,47,0.98
12451,performance,11,3,2,60.1,38.2,52.5,0.584,2,13.9,29.5,0.0,47,0.97
14494,performance,11,3,2,67.4,38.2,55.6,0.601,1,13.4,28.1,0.0,47,0.87
16513,performance,11,3,2,61.0,38.2,55.2,0.418,1,12.6,29.4,0.0,47,0.87
18541,performance,11,3,2,58.3,38.2,52.9,0.418,1,11.6,23.3,0.0,47,0.92
20586,performance,11,3,2,57.1,38.2,52.5,0.418,1,12.4,78.2,0.0,47,0.94
22632,performance,11,3,2,57.5,38.2,52.5,0.418,1,12.4,35.6,0.0,47,0.94
24652,performance,11,3,2,57.5,38.2,52.5,0.418,1,8.9,70.9,0.0,47,0.87
26669,performance,11,3,2,56.0,38.2,52.1,0.418,1,6.3,24.7,0.0,47,0.83
28704,performance,11,3,2,56.0,38.2,51.3,0.480,1,6.2,79.5,0.0,47,0.84
30722,performance,11,3,2,56.0,38.2,52.1,0.418,1,8.1,40.3,0.0,47,0.86
32863,performance,11,3,2,55.6,38.2,51.7,0.418,1,10.4,24.1,0.0,47,0.92
34908,performance,11,3,2,62.8,38.2,55.2,0.601,1,11.2,26.7,0.0,47,0.85
36921,performance,11,3,2,64.7,38.2,55.2,0.695,2,12.9,23.2,0.0,47,0.88
38934,performance,11,3,2,64.7,38.2,55.6,0.695,2,14.4,29.9,0.0,47,0.90
